,date,Inflation
0,2020-01-01,1.23358439630637
1,2019-01-01,1.81221007526015
2,2018-01-01,2.44258329692818
3,2017-01-01,2.13011000365963
4,2016-01-01,1.26158320570537
5,2015-01-01,0.118627135552435
6,2014-01-01,1.62222297740821
7,2013-01-01,1.46483265562714
8,2012-01-01,2.06933726526059
9,2011-01-01,3.15684156862206
10,2010-01-01,1.64004344238989
11,2009-01-01,-0.35554626629975
12,2008-01-01,3.83910029665101
13,2007-01-01,2.85267248150136
14,2006-01-01,3.22594410070407
15,2005-01-01,3.39274684549547
16,2004-01-01,2.67723669309173
17,2003-01-01,2.27009497336113
18,2002-01-01,1.58603162650603
19,2001-01-01,2.82617111885402
20,2000-01-01,3.37685727149935
21,1999-01-01,2.18802719697358
22,1998-01-01,1.55227909874362
23,1997-01-01,2.33768993730741
24,1996-01-01,2.9312041999344
25,1995-01-01,2.80541968853655
26,1994-01-01,2.6074415921546
27,1993-01-01,2.95165696638554
28,1992-01-01,3.0288196781497
29,1991-01-01,4.23496396453853
30,1990-01-01,5.39795643990322
31,1989-01-01,4.82700303008949
32,1988-01-01,4.07774110744408
33,1987-01-01,3.66456321751691
34,1986-01-01,1.89804772234275
35,1985-01-01,3.54564415209369
36,1984-01-01,4.30053547523427
37,1983-01-01,3.21243523316063
38,1982-01-01,6.13142700027494
39,1981-01-01,10.3347153402771
40,1980-01-01,13.5492019749684
41,1979-01-01,11.2544711292795
42,1978-01-01,7.63096383885602
43,1977-01-01,6.50168399472839
44,1976-01-01,5.74481263549085
45,1975-01-01,9.14314686496534
46,1974-01-01,11.0548048048048
47,1973-01-01,6.17776006377041
48,1972-01-01,3.27227824655283
49,1971-01-01,4.29276668813045
50,1970-01-01,5.83825533848253
51,1969-01-01,5.4623862002875
52,1968-01-01,4.27179615288534
53,1967-01-01,2.77278562259307
54,1966-01-01,3.01507537688439
55,1965-01-01,1.58516926383669
56,1964-01-01,1.27891156462583
57,1963-01-01,1.2396694214876
58,1962-01-01,1.19877334820185
59,1961-01-01,1.07072414764723
60,1960-01-01,1.45797598627786
