Quarter Ended,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Revenue,18059000000.0,16008000000.0,21456000000.0,20489000000.0,19896000000.0,18529000000.0,24519000000.0,20403000000.0,23382000000.0,23201000000.0,26470000000.0,21729000000.0,22180000000.0,20379000000.0,23796000000.0,20531000000.0,26448000000.0,21928000000.0,25826000000.0,23212000000.0,25605000000.0,24538000000.0,28918000000.0,26819000000.0,30085000000.0,29084000000.0,32471000000.0,30571000000.0,33717000000.0,33055000000.0,36906000000.0,35021000000.0,38033000000.0,37154000000.0,43076000000.0,41706000000.0,46152000000.0,45317000000.0,51728000000.0,49360000000.0
Cost of Revenue,4163000000.0,4168000000.0,5692000000.0,4787000000.0,5738000000.0,5145000000.0,8322000000.0,5978000000.0,7633000000.0,8273000000.0,10136000000.0,7161000000.0,7468000000.0,7207000000.0,9872000000.0,7722000000.0,7979000000.0,7844000000.0,9901000000.0,8060000000.0,8456000000.0,8278000000.0,11064000000.0,9269000000.0,9742000000.0,9905000000.0,12423000000.0,10170000000.0,10412000000.0,10406000000.0,12358000000.0,10975000000.0,12339000000.0,11002000000.0,14194000000.0,13045000000.0,13991000000.0,13646000000.0,16960000000.0,15615000000.0
Gross Profit,13896000000.0,11840000000.0,15764000000.0,15702000000.0,14158000000.0,13384000000.0,16197000000.0,14425000000.0,15749000000.0,14928000000.0,16334000000.0,14568000000.0,14712000000.0,13172000000.0,13924000000.0,12809000000.0,18469000000.0,14084000000.0,15925000000.0,15152000000.0,17149000000.0,16260000000.0,17854000000.0,17550000000.0,20343000000.0,19179000000.0,20048000000.0,20401000000.0,23305000000.0,22649000000.0,24548000000.0,24046000000.0,25694000000.0,26152000000.0,28882000000.0,28661000000.0,32161000000.0,31671000000.0,34768000000.0,33745000000.0
"Selling, General & Admin",4917000000.0,4072000000.0,5465000000.0,5450000000.0,5302000000.0,4283000000.0,5480000000.0,4708000000.0,6017000000.0,4879000000.0,5412000000.0,4800000000.0,5233000000.0,4417000000.0,4998000000.0,4546000000.0,5237000000.0,4263000000.0,4958000000.0,5074000000.0,5647000000.0,4978000000.0,5671000000.0,5543000000.0,6031000000.0,5247000000.0,5720000000.0,5744000000.0,6387000000.0,5398000000.0,6054000000.0,6184000000.0,7073000000.0,5350000000.0,6086000000.0,6409000000.0,7379000000.0,5834000000.0,6763000000.0,7075000000.0
Research & Development,2594000000.0,2460000000.0,2528000000.0,2640000000.0,2783000000.0,2767000000.0,2748000000.0,2743000000.0,3123000000.0,3065000000.0,2903000000.0,2984000000.0,3094000000.0,2962000000.0,2900000000.0,2980000000.0,3146000000.0,3106000000.0,3062000000.0,3355000000.0,3514000000.0,3574000000.0,3504000000.0,3715000000.0,3933000000.0,3977000000.0,4070000000.0,4316000000.0,4513000000.0,4565000000.0,4603000000.0,4887000000.0,5214000000.0,4926000000.0,4899000000.0,5204000000.0,5687000000.0,5599000000.0,5758000000.0,6306000000.0
Other Operating Expenses,6193000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127000000.0,1140000000.0,243000000.0,190000000.0,8438000000.0,0.0,0.0,0.0,1110000000.0,0.0,0.0,0.0,306000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Income,192000000.0,5308000000.0,7771000000.0,7612000000.0,6073000000.0,6334000000.0,7969000000.0,6974000000.0,6482000000.0,5844000000.0,7776000000.0,6594000000.0,-2053000000.0,5793000000.0,6026000000.0,5283000000.0,8976000000.0,6715000000.0,7905000000.0,6723000000.0,7682000000.0,7708000000.0,8679000000.0,8292000000.0,10379000000.0,9955000000.0,10258000000.0,10341000000.0,12405000000.0,12686000000.0,13891000000.0,12975000000.0,13407000000.0,15876000000.0,17897000000.0,17048000000.0,19095000000.0,20238000000.0,22247000000.0,20364000000.0
Interest Expense / Income,96000000.0,95000000.0,105000000.0,109000000.0,120000000.0,118000000.0,135000000.0,175000000.0,169000000.0,161000000.0,162000000.0,211000000.0,247000000.0,249000000.0,309000000.0,340000000.0,345000000.0,437000000.0,521000000.0,609000000.0,655000000.0,672000000.0,698000000.0,691000000.0,672000000.0,674000000.0,672000000.0,671000000.0,669000000.0,637000000.0,654000000.0,614000000.0,686000000.0,589000000.0,571000000.0,633000000.0,553000000.0,539000000.0,525000000.0,503000000.0
Other Expense / Income,-263000000.0,-321000000.0,-104000000.0,-100000000.0,-192000000.0,-192000000.0,-44000000.0,-158000000.0,-264000000.0,-213000000.0,-236000000.0,-134000000.0,-544000000.0,31000000.0,-138000000.0,-93000000.0,-604000000.0,-549000000.0,-638000000.0,-980000000.0,-931000000.0,-948000000.0,-1188000000.0,-1040000000.0,-973000000.0,-940000000.0,-799000000.0,-816000000.0,-860000000.0,-637000000.0,-848000000.0,-482000000.0,-701000000.0,-837000000.0,-1011000000.0,-821000000.0,-863000000.0,-825000000.0,-793000000.0,-329000000.0
Income Tax,851000000.0,1068000000.0,1393000000.0,1548000000.0,1180000000.0,1164000000.0,1320000000.0,1297000000.0,1965000000.0,1356000000.0,1987000000.0,1532000000.0,1439000000.0,611000000.0,837000000.0,1280000000.0,2372000000.0,1160000000.0,1755000000.0,1608000000.0,-111000000.0,1408000000.0,15471000000.0,1217000000.0,1807000000.0,1397000000.0,1965000000.0,1677000000.0,-591000000.0,2008000000.0,2436000000.0,2091000000.0,2220000000.0,2231000000.0,2874000000.0,1779000000.0,2947000000.0,19000000.0,3750000000.0,3462000000.0
